Release Date,Time,Actual,Forecast,Previous,
"Mar 30, 2025 (Mar)",21:30, , ,50.2,
"Feb 28, 2025 (Feb)",21:30,50.2,50.0,49.1,
"Jan 26, 2025 (Jan)",21:30,49.1,50.1,50.1,
"Dec 30, 2024 (Dec)",21:30,50.1,50.3,50.3,
"Nov 29, 2024 (Nov)",21:30,50.3,50.2,50.1,
"Oct 30, 2024 (Oct)",21:30,50.1,49.8,49.8,
"Sep 29, 2024 (Sep)",21:30,49.8,49.4,49.1,
"Aug 30, 2024 (Aug)",21:30,49.1,49.5,49.4,
"Jul 30, 2024 (Jul)",21:30,49.4,49.4,49.5,
"Jun 29, 2024 (Jun)",21:30,49.5,49.5,49.5,
"May 30, 2024 (May)",21:30,49.5,50.5,50.4,
"Apr 29, 2024 (Apr)",21:30,50.4,50.3,50.8,
"Mar 30, 2024 (Mar)",21:30,50.8,50.1,49.1,
"Feb 29, 2024 (Feb)",21:30,49.1,49.1,49.2,
"Jan 30, 2024 (Jan)",21:30,49.2,49.2,49.0,
"Dec 30, 2023 (Dec)",21:30,49.0,49.5,49.4,
"Nov 29, 2023 (Nov)",21:30,49.4,49.7,49.5,
"Oct 30, 2023 (Oct)",21:30,49.5,50.2,50.2,
"Sep 29, 2023",21:30,50.2,50.2,49.7,
"Aug 30, 2023 (Aug)",21:30,49.7,49.4,49.3,
"Jul 30, 2023 (Jul)",21:30,49.3,49.2,49.0,
"Jun 29, 2023 (Jun)",21:30,49.0,49.0,48.8,
"May 30, 2023 (May)",21:30,48.8,51.4,49.2,
"Apr 29, 2023 (Apr)",21:30,49.2,51.4,51.9,
"Mar 30, 2023 (Mar)",21:30,51.9,51.5,52.6,
"Feb 28, 2023 (Feb)",21:30,52.6,50.5,50.1,
"Jan 30, 2023 (Jan)",21:30,50.1,49.8,47.0,
"Dec 30, 2022 (Dec)",21:30,47.0,48.0,48.0,
"Nov 29, 2022 (Nov)",21:30,48.0,49.0,49.2,
"Oct 30, 2022 (Oct)",21:30,49.2,50.0,50.1,
"Sep 29, 2022 (Sep)",21:30,50.1,49.6,49.4,
"Aug 30, 2022 (Aug)",21:30,49.4,49.2,49.0,
"Jul 30, 2022 (Jul)",21:30,49.0,50.4,50.2,
"Jun 29, 2022 (Jun)",21:30,50.2,50.5,49.6,
"May 30, 2022 (May)",21:30,49.6,48.0,47.4,
"Apr 29, 2022 (Apr)",21:30,47.4,48.0,49.5,
"Mar 30, 2022 (Mar)",21:30,49.5,49.9,50.2,
"Feb 28, 2022 (Feb)",21:30,50.2,49.9,50.1,
"Jan 29, 2022 (Jan)",21:30,50.1,50.0,50.3,
"Dec 30, 2021 (Dec)",21:00,50.3,50.0,50.1,
"Nov 29, 2021 (Nov)",21:00,50.1,49.6,49.2,
"Oct 30, 2021 (Oct)",21:00,49.2,49.7,49.6,
"Sep 29, 2021 (Sep)",21:00,49.6,50.1,50.1,
"Aug 30, 2021 (Aug)",21:00,50.1,50.2,50.4,
"Jul 30, 2021 (Jul)",21:00,50.4,50.8,50.9,
"Jun 29, 2021 (Jun)",21:00,50.9,50.8,51.0,
