Release Date,Actual,Forecast,Previous
30-03-2025,,,50.20
28-02-2025,50.20,50.00,49.10
26-01-2025,49.10,50.10,50.10
30-12-2024,50.10,50.30,50.30
29-11-2024,50.30,50.20,50.10
30-10-2024,50.10,49.80,49.80
29-09-2024,49.80,49.40,49.10
30-08-2024,49.10,49.50,49.40
30-07-2024,49.40,49.40,49.50
29-06-2024,49.50,49.50,49.50
30-05-2024,49.50,50.50,50.40
29-04-2024,50.40,50.30,50.80
30-03-2024,50.80,50.10,49.10
29-02-2024,49.10,49.10,49.20
30-01-2024,49.20,49.20,49.00
30-12-2023,49.00,49.50,49.40
29-11-2023,49.40,49.70,49.50
30-10-2023,49.50,50.20,50.20
29-09-2023,50.20,50.20,49.70
30-08-2023,49.70,49.40,49.30
30-07-2023,49.30,49.20,49.00
29-06-2023,49.00,49.00,48.80
30-05-2023,48.80,51.40,49.20
29-04-2023,49.20,51.40,51.90
30-03-2023,51.90,51.50,52.60
28-02-2023,52.60,50.50,50.10
30-01-2023,50.10,49.80,47.00
30-12-2022,47.00,48.00,48.00
29-11-2022,48.00,49.00,49.20
30-10-2022,49.20,50.00,50.10
29-09-2022,50.10,49.60,49.40
30-08-2022,49.40,49.20,49.00
30-07-2022,49.00,50.40,50.20
29-06-2022,50.20,50.50,49.60
30-05-2022,49.60,48.00,47.40
29-04-2022,47.40,48.00,49.50
30-03-2022,49.50,49.90,50.20
28-02-2022,50.20,49.90,50.10
29-01-2022,50.10,50.00,50.30
30-12-2021,50.30,50.00,50.10
29-11-2021,50.10,49.60,49.20
30-10-2021,49.20,49.70,49.60
29-09-2021,49.60,50.10,50.10
30-08-2021,50.10,50.20,50.40
30-07-2021,50.40,50.80,50.90
29-06-2021,50.90,50.80,51.00
30-05-2021,51.00,51.10,51.10
29-04-2021,51.10,51.70,51.90
30-03-2021,51.90,51.00,50.60
28-02-2021,50.60,51.10,51.30
30-01-2021,51.30,51.60,51.90
30-12-2020,51.90,52.00,52.10
29-11-2020,52.10,51.50,51.40
30-10-2020,51.40,51.30,51.50
29-09-2020,51.50,51.20,51.00
30-08-2020,51.00,51.20,51.10
30-07-2020,51.10,50.70,50.90
29-06-2020,50.90,50.40,50.60
30-05-2020,50.60,51.00,50.80
29-04-2020,50.80,51.00,52.00
30-03-2020,52.00,45.00,35.70
28-02-2020,35.70,46.00,50.00
30-01-2020,50.00,50.00,50.20
30-12-2019,50.20,50.10,50.20
29-11-2019,50.20,49.50,49.30
30-10-2019,49.30,49.90,49.80
29-09-2019,49.80,49.50,49.50
30-08-2019,49.50,49.70,49.70
30-07-2019,49.70,49.60,49.40
29-06-2019,49.40,49.50,49.40
